source,target,edge_type,decision_date,fine_amount
Spanish Agency for Data Protection,Spain_560,decided_by,,0.0
Spanish Agency for Data Protection,Spain_564,decided_by,,8000.0
Spanish Agency for Data Protection,Spain_565,decided_by,,6000.0
Spanish Agency for Data Protection,Spain_568,decided_by,2021-12-23 00:00:00+00:00,56000.0
Spanish Agency for Data Protection,Spain_567,decided_by,,3000000.0
Spanish Agency for Data Protection,Spain_570,decided_by,,2000.0
Spanish Agency for Data Protection,Spain_569,decided_by,,12000.0
Spanish Agency for Data Protection,Spain_573,decided_by,2022-08-23 00:00:00+00:00,0.0
Spanish Agency for Data Protection,Spain_574,decided_by,,1800.0
Spanish Agency for Data Protection,Spain_589,decided_by,,0.0
Spanish Agency for Data Protection,Spain_591,decided_by,,0.0
Spanish Agency for Data Protection,Spain_597,decided_by,,0.0
Spanish Agency for Data Protection,Spain_598,decided_by,,0.0
Spanish Agency for Data Protection,Spain_599,decided_by,,0.0
Spanish Agency for Data Protection,Spain_605,decided_by,,0.0
Spanish Agency for Data Protection,Spain_601,decided_by,,0.0
Spanish Agency for Data Protection,Spain_613,decided_by,,0.0
Agencia Española de Protección de Datos,Spain_2,decided_by,,0.0
Agencia Española de Protección de Datos,Spain_63,decided_by,,10000.0
Agencia Española de Protección de Datos,Spain_92,decided_by,,0.0
Agencia Española de Protección de Datos,Spain_151,decided_by,2024-01-16 00:00:00+00:00,200000.0
Agencia Española de Protección de Datos,Spain_182,decided_by,2024-01-16 00:00:00+00:00,3000000.0
Agencia Española de Protección de Datos,Spain_231,decided_by,,18000.0
Agencia Española de Protección de Datos,Spain_261,decided_by,,24000.0
Agencia Española de Protección de Datos,Spain_281,decided_by,,6000.0
Agencia Española de Protección de Datos,Spain_289,decided_by,,0.0
Agencia Española de Protección de Datos,Spain_296,decided_by,,3000.0
Agencia Española de Protección de Datos,Spain_297,decided_by,,0.0
Agencia Española de Protección de Datos,Spain_302,decided_by,2020-03-30 00:00:00+00:00,0.0
Agencia Española de Protección de Datos,Spain_316,decided_by,,33000.0
Agencia Española de Protección de Datos,Spain_335,decided_by,,1800.0
Agencia Española de Protección de Datos,Spain_340,decided_by,,9000.0
Agencia Española de Protección de Datos,Spain_404,decided_by,2021-11-13 00:00:00+00:00,1500000.0
Agencia Española de Protección de Datos,Spain_444,decided_by,,3000.0
Agencia Española de Protección de Datos,Spain_482,decided_by,,30000.0
Agencia Española de Protección de Datos,Spain_527,decided_by,,5000.0
Agencia Española de Protección de Datos,Spain_584,decided_by,,0.0
Agencia Española de Protección de Datos,Spain_592,decided_by,,0.0
Agencia Española de Protección de Datos,Spain_593,decided_by,,0.0
Agencia Española de Protección de Datos,Spain_612,decided_by,,0.0
Spanish Data Protection Agency,Spain_4,decided_by,,21000.0
Spanish Data Protection Agency,Spain_7,decided_by,,0.0
Spanish Data Protection Agency,Spain_21,decided_by,,0.0
Spanish Data Protection Agency,Spain_22,decided_by,,0.0
Spanish Data Protection Agency,Spain_24,decided_by,,0.0
Spanish Data Protection Agency,Spain_26,decided_by,,0.0
Spanish Data Protection Agency,Spain_27,decided_by,,0.0
Spanish Data Protection Agency,Spain_30,decided_by,,0.0
Spanish Data Protection Agency,Spain_32,decided_by,,0.0
Spanish Data Protection Agency,Spain_35,decided_by,,0.0
Spanish Data Protection Agency,Spain_34,decided_by,,0.0
Spanish Data Protection Agency,Spain_38,decided_by,,0.0
Spanish Data Protection Agency,Spain_40,decided_by,,1500.0
Spanish Data Protection Agency,Spain_41,decided_by,,1500.0
Spanish Data Protection Agency,Spain_37,decided_by,,0.0
