source_id,target_id,distance,weight,match_rank,match_type,stratum_key,source_country,target_country
Iceland_47,Iceland_55,0.06944444444444443,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_47,Iceland_88,0.07638888888888888,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_57,Iceland_61,0.048611111111111105,0.5,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_57,Iceland_59,0.25,0.5,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_59,Iceland_61,0.24305555555555555,0.5,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_59,Iceland_57,0.25,0.5,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_55,Iceland_94,0.027777777777777776,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_55,Iceland_88,0.0625,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_55,Iceland_47,0.06944444444444443,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_61,Iceland_57,0.048611111111111105,0.5,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_61,Iceland_59,0.24305555555555555,0.5,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_70,Iceland_28,0.16666666666666666,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_70,Iceland_88,0.16666666666666666,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_70,Iceland_87,0.16666666666666666,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_77,Iceland_38,0.21527777777777776,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_77,Iceland_72,0.2222222222222222,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_77,Iceland_28,0.25,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_72,Iceland_38,0.07638888888888888,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_72,Iceland_28,0.1111111111111111,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_72,Iceland_47,0.20138888888888887,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_79,Iceland_28,0.16666666666666666,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_79,Iceland_88,0.16666666666666666,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_79,Iceland_87,0.16666666666666666,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_85,Ireland_28,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Iceland_85,Ireland_20,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Iceland_85,Ireland_22,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Iceland_84,Iceland_94,0.18055555555555555,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_84,Iceland_33,0.1875,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_84,Iceland_88,0.1875,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_87,Iceland_28,0.16666666666666666,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_87,Iceland_88,0.16666666666666666,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_87,Iceland_79,0.16666666666666666,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_88,Iceland_94,0.03472222222222222,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_88,Iceland_55,0.0625,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_88,Iceland_47,0.07638888888888888,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_94,Iceland_55,0.027777777777777776,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_94,Iceland_88,0.03472222222222222,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_94,Iceland_47,0.041666666666666664,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_100,Iceland_11,0.03472222222222222,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_100,Iceland_88,0.16666666666666666,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_100,Iceland_94,0.20138888888888887,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Hungary_1,Hungary_29,0.0625,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,HU,HU
Hungary_1,Hungary_14,0.19444444444444445,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,HU,HU
Hungary_1,Hungary_17,0.23611111111111108,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,HU,HU
Hungary_3,United Kingdom_36,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Hungary_3,United Kingdom_63,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Hungary_3,Spain_572,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Hungary_2,Spain_365,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Hungary_2,Sweden_46,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Hungary_2,Spain_623,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Iceland_99,United Kingdom_38,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_99,United Kingdom_58,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_99,Sweden_8,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,,
Hungary_14,Hungary_1,0.19444444444444445,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,HU,HU
Hungary_14,Hungary_17,0.20833333333333334,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,HU,HU
Hungary_14,Hungary_29,0.2569444444444444,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,HU,HU
Hungary_15,Hungary_17,0.1875,1.0,1,within,0|NA|NA|NA|NA|nan|NA,HU,HU
Hungary_17,Hungary_15,0.1875,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,HU,HU
Hungary_17,Hungary_14,0.20833333333333334,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,HU,HU
Hungary_17,Hungary_29,0.21527777777777776,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,HU,HU
Hungary_29,Hungary_1,0.0625,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,HU,HU
Hungary_29,Hungary_17,0.21527777777777776,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,HU,HU
Hungary_29,Hungary_60,0.21527777777777776,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,HU,HU
