feature,source,block,feature_type,observed_share,mean,variance,status_discussed,status_not_mentioned,status_not_discussed
raw_q8_MISSING,raw_q8,Other,categorical,1.0,0.034574468085106384,0.03337907424173835,,,
raw_q8_NATURAL_PERSON,raw_q8,Other,categorical,1.0,0.07180851063829788,0.06665204843820735,,,
raw_q8_NOT_DISCUSSED,raw_q8,Other,categorical,1.0,0.007978723404255319,0.007915063377093709,,,
raw_q8_NOT_MENTIONED,raw_q8,Other,categorical,1.0,0.05053191489361702,0.04797844047080127,,,
raw_q8_ORGANIZATION,raw_q8,Other,categorical,1.0,0.8271276595744681,0.1429874943413309,,,
raw_q8_PUBLIC_SECTOR_BODY,raw_q8,Other,categorical,1.0,0.007978723404255319,0.00791506337709371,,,
raw_q9_BOTH_CONTROLLER_AND_PROCESSOR,raw_q9,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q9_CONTROLLER,raw_q9,Other,categorical,1.0,0.8776595744680851,0.10737324581258488,,,
raw_q9_JOINT_CONTROLLER,raw_q9,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q9_MISSING,raw_q9,Other,categorical,1.0,0.034574468085106384,0.03337907424173835,,,
raw_q9_NOT_DISCUSSED,raw_q9,Other,categorical,1.0,0.007978723404255319,0.007915063377093709,,,
raw_q9_NOT_MENTIONED,raw_q9,Other,categorical,1.0,0.06382978723404255,0.05975554549569941,,,
raw_q9_PROCESSOR,raw_q9,Other,categorical,1.0,0.007978723404255319,0.007915063377093709,,,
raw_q9_UNCLEAR,raw_q9,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q10_LARGE_ENTERPRISE,raw_q10,Other,categorical,1.0,0.1196808510638298,0.10535734495246718,,,
raw_q10_LARGE_ENTERPRISE_MULTINATIONAL,raw_q10,Other,categorical,1.0,0.03723404255319149,0.03584766862833861,,,
raw_q10_LARGE_ENTERPRISE_MULTINATIONAL_NOT_MENTIONED,raw_q10,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q10_LARGE_ENTERPRISE_NOT_MENTIONED,raw_q10,Other,categorical,1.0,0.015957446808510637,0.015702806699864187,,,
raw_q10_LARGE_ENTERPRISE_MULTINATIONAL_1,raw_q10,Other,categorical,1.0,0.0425531914893617,0.040742417383431435,,,
raw_q10_LARGE_ENTERPRISE_NOT_MENTIONED_1,raw_q10,Other,categorical,1.0,0.007978723404255319,0.007915063377093709,,,
raw_q10_MISSING,raw_q10,Other,categorical,1.0,0.034574468085106384,0.03337907424173835,,,
raw_q10_MULTINATIONAL,raw_q10,Other,categorical,1.0,0.015957446808510637,0.015702806699864187,,,
raw_q10_MULTINATIONAL_NOT_MENTIONED,raw_q10,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q10_NON_PROFIT,raw_q10,Other,categorical,1.0,0.0398936170212766,0.0383021163422363,,,
raw_q10_NON_PROFIT_NOT_MENTIONED,raw_q10,Other,categorical,1.0,0.005319148936170213,0.00529085559076505,,,
raw_q10_NOT_APPLICABLE,raw_q10,Other,categorical,1.0,0.09042553191489362,0.08224875509280216,,,
raw_q10_NOT_DISCUSSED,raw_q10,Other,categorical,1.0,0.007978723404255319,0.007915063377093709,,,
raw_q10_NOT_MENTIONED,raw_q10,Other,categorical,1.0,0.19946808510638298,0.15968056813037576,,,
raw_q10_PUBLIC_SECTOR_BODY,raw_q10,Other,categorical,1.0,0.13297872340425532,0.11529538252602989,,,
raw_q10_PUBLIC_SECTOR_BODY_NOT_MENTIONED,raw_q10,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q10_SME,raw_q10,Other,categorical,1.0,0.0797872340425532,0.07342123132639204,,,
raw_q10_SME_NOT_MENTIONED,raw_q10,Other,categorical,1.0,0.05319148936170213,0.05036215482118606,,,
raw_q10_SME_NOT_MENTIONED_UNCLEAR,raw_q10,Other,categorical,1.0,0.005319148936170213,0.0052908555907650485,,,
raw_q10_SME_LARGE_ENTERPRISE,raw_q10,Other,categorical,1.0,0.005319148936170213,0.0052908555907650485,,,
raw_q10_SME_LARGE_ENTERPRISE_NOT_MENTIONED_UNCLEAR,raw_q10,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q10_SME_NOT_MENTIONED_1,raw_q10,Other,categorical,1.0,0.09308510638297872,0.08442026935264825,,,
