node,node_type,country,country_group,total_decisions,total_fines_eur,avg_fine_eur,breach_cases,year,quarter,fine_eur,breach_case,severity_measures,n_principles_violated,cross_border
Spain_32,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_29,decision,,,,,,,,,0.0,True,False,0.0,False
Spain_31,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_33,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_35,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_34,decision,,,,,,,,,0.0,False,True,0.0,False
Spain_36,decision,,,,,,,,,24000.0,False,True,1.0,False
Spain_38,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_40,decision,,,,,,,,,1500.0,False,True,1.0,False
Spain_41,decision,,,,,,,,,1500.0,True,True,1.0,False
Spain_37,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_42,decision,,,,,,,,,12000.0,False,True,1.0,False
Spain_43,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_45,decision,,,,,,,,,3000.0,False,True,0.0,False
Spain_47,decision,,,,,,,,,5000.0,True,True,1.0,False
Spain_48,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_51,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_49,decision,,,,,,,2022.0,Q3,24000.0,False,True,1.0,False
Spain_46,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_52,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_50,decision,,,,,,,,,5000.0,False,True,1.0,False
Spain_53,decision,,,,,,,,,300.0,False,True,1.0,False
Spain_56,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_55,decision,,,,,,,,,2000.0,False,True,1.0,False
Spain_54,decision,,,,,,,,,56000.0,True,True,1.0,False
Spain_57,decision,,,,,,,,,200000.0,False,True,1.0,False
Spain_58,decision,,,,,,,,,5000.0,True,True,1.0,False
Spain_59,decision,,,,,,,,,80000.0,True,True,1.0,False
Spain_61,decision,,,,,,,,,10000.0,False,False,0.0,False
Spain_60,decision,,,,,,,,,10000.0,False,False,1.0,False
Spain_62,decision,,,,,,,,,70000.0,False,True,1.0,False
Spain_63,decision,,,,,,,,,10000.0,False,True,1.0,False
Spain_64,decision,,,,,,,,,70000.0,False,True,2.0,False
Spain_65,decision,,,,,,,,,48000.0,False,False,0.0,False
Spain_66,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_67,decision,,,,,,,,,17000.0,False,True,2.0,False
Spain_69,decision,,,,,,,,,60000.0,False,True,1.0,False
Spain_71,decision,,,,,,,,,0.0,True,True,1.0,False
Spain_70,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_68,decision,,,,,,,,,24000.0,False,True,1.0,False
Spain_73,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_74,decision,,,,,,,,,48000.0,False,True,1.0,False
Spain_72,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_77,decision,,,,,,,,,0.0,False,False,0.0,False
